formula,component1,component2,actual,predicted,elements,residual
BaCdSnS4,53,41,1.7,2.145159124,Ba Cd Sn S,-0.445159124
Pb0.95Se0.95Ge0.05S0.05,1,41,2,0.954396842,Pb Se Ge S,1.045603158
NiC2N2,84,78,0.5555,0.842388911,Ni C N,-0.286888911
CuPbBiSe3,39,20,2.6,2.493228321,Cu Pb Bi Se,0.106771679
RbNb3Te2O12,45,10,0.16,0.128464649,Rb Nb Te O,0.031535351
KUO3Cl,66,39,4.84,3.781259676,K U O Cl,1.058740324
Tl2TeI6,83,79,3.31,3.137500819,Tl Te I,0.172499181
NaAsS2,0,64,3.01,2.915094208,Na As S,0.094905792
ScNiSb,22,29,0.63,1.533280815,Sc Ni Sb,-0.903280815
AgNb2PS10,85,14,4.065,4.417744301,Ag Nb P S,-0.352744301
Cu2In4Te7,67,54,0.16,0.676851312,Cu In Te,-0.516851312
ZnGeP2,24,53,1.9,2.326777168,Zn Ge P,-0.426777168
Cu0.5Ga1.5Se2.5,43,83,0.41,1.987521603,Cu Ga Se,-1.577521603
Na2CdGe2Se6,93,47,1.7,1.571359178,Na Cd Ge Se,0.128640822
Na2Ga2GeS6,73,31,2.19,2.065930973,Na Ga Ge S,0.124069027
Sr4Te3O8Cl4,90,34,0.26,0.45801389,Sr Te O Cl,-0.19801389
LaTaN2O,4,9,3.37,2.955663881,La Ta N O,0.414336119
Mn3Ta2O8,83,45,1.95,2.137688294,Mn Ta O,-0.187688294
NaAlGeS4,3,83,1.03,1.595339969,Na Al Ge S,-0.565339969
In0.97As0.97Cd0.03Te0.03,70,56,0.1,0.511812417,In As Cd Te,-0.411812417
Cu0.95In1.05Se2.05,59,66,2.74,4.382093566,Cu In Se,-1.642093566
NaNb2PS10,59,30,7.261666667,7.738054629,Na Nb P S,-0.476387963
K2SmP2S7,58,21,0.206,0.136587448,K Sm P S,0.069412552
HgTe,88,55,2.88,2.78066831,Hg Te,0.09933169
Cu3Ta7O19,94,43,1.71,2.050750872,Cu Ta O,-0.340750872
BaGa2SnSe6,71,80,2.1,2.223584971,Ba Ga Sn Se,-0.123584971
Sm2YbCuS5,65,83,1.15,0.668440693,Sm Yb Cu S,0.481559307
Ag0.25Cd0.5In2.25Te4,78,71,3.99,3.443635334,Ag Cd In Te,0.546364666
Na2PtI6O18,56,38,0.68,0.750006906,Na Pt I O,-0.070006906
GaAs0.8P0.2,26,51,2.93,2.064184406,Ga As P,0.865815594
Cu0.15Ga1.85Se2.85,28,44,2.4,2.106934546,Cu Ga Se,0.293065454
KYTe2O6,15,31,1.96,1.808780998,K Y Te O,0.151219002
CsGaSnSe4,68,63,2.7,3.507877491,Cs Ga Sn Se,-0.807877491
K3Ga3Ge7S20,20,28,6.4,4.917013408,K Ga Ge S,1.482986592
TbSb2BO8,3,11,2.46,2.088102919,Tb Sb B O,0.371897081
Cs2Ba3P4O14,84,4,1.089,1.238796249,Cs Ba P O,-0.149796249
CsEr9Cd4Se18,4,25,2.81,2.611322218,Cs Er Cd Se,0.198677782
CsInTe3O8,87,14,1.14,0.990390316,Cs In Te O,0.149609684
Ga0.1P0.1Zn0.9Se0.9,60,2,1.58,1.353078545,Ga P Zn Se,0.226921455
K2.15Pb1.7Sb8.15Se15,47,81,6.15,6.757810065,K Pb Sb Se,-0.607810065
Bi1.4Te3Sb0.6,28,39,2.625,2.495501038,Bi Te Sb,0.129498962
In0.8As0.8Ga0.2P0.2,12,50,2.2,1.974504068,In As Ga P,0.225495932
Na7.36Ga7.24Sn4.78Se24,99,6,2.2,3.117719867,Na Ga Sn Se,-0.917719867
LiSbTe2,25,46,0.75,1.467877848,Li Sb Te,-0.717877848
Ba2InDyTe5,82,79,2.2,2.10073833,Ba In Dy Te,0.09926167
Pb0.93TeTl0.07,45,78,2.36,2.29055068,Pb Te Tl,0.06944932
Li8GeN4,27,45,2.8,2.44826914,Li Ge N,0.35173086
Zn2LiGaO4,74,0,1.76,2.127489816,Zn Li Ga O,-0.367489816
Pb0.85Se0.85Sn0.15Te0.15,30,76,1.89,2.091189842,Pb Se Sn Te,-0.201189842
Ag1.75InSb5.75Se11,97,13,2.238,0.937531734,Ag In Sb Se,1.300468266
Rb3Sb2Br9,32,69,2.48,2.402246876,Rb Sb Br,0.077753124
LiSm3SiS7,77,82,2.04,2.230941252,Li Sm Si S,-0.190941252
Ba1.88Ta15O32,82,58,2.08,2.231823398,Ba Ta O,-0.151823398
Cd3Sb2,65,95,1,1.193063236,Cd Sb,-0.193063236
RbIn5S6,98,39,2.24,2.061871372,Rb In S,0.178128628
AgPbBiSe3,73,72,0.8,0.928662505,Ag Pb Bi Se,-0.128662505
SrO,93,12,1.5,1.445734499,Sr O,0.054265501
Cu3SbS4,78,75,3.41,3.144993979,Cu Sb S,0.265006021
MnP4,1,17,2.13,2.255110985,Mn P,-0.125110985
Cu0.1In1.9Se2.9,46,43,1.05,1.100353372,Cu In Se,-0.050353372
Rb4Ti3S14,64,14,3,3.141858301,Rb Ti S,-0.141858301
Hg7InS6Cl5,92,58,1,2.966560051,Hg In S Cl,-1.966560051
Ba5V3O12F,25,85,3.3,3.87529611,Ba V O F,-0.57529611
In0.94As0.94Cd0.06Te0.06,50,74,1.726666667,1.889502259,In As Cd Te,-0.162835593
RbCd4Ga5S12,57,4,0.66,0.899547533,Rb Cd Ga S,-0.239547533
Cd4P2Cl3,26,37,1.353333333,1.360810068,Cd P Cl,-0.007476734
SnGe,52,69,2.2,3.203322094,Sn Ge,-1.003322094
Ba2InGdTe5,95,72,1.5,1.137643336,Ba In Gd Te,0.362356664
LaSb,30,8,1.95,2.38196627,La Sb,-0.43196627
Hg3PS3,46,79,0.49,0.391380292,Hg P S,0.098619708
Sm2Se3,27,24,1.6,1.44065513,Sm Se,0.15934487
Pb0.95Sn0.05Se,16,57,4.185,3.225573384,Pb Sn Se,0.959426616
Hg2Br2,14,76,0.45,0.801230574,Hg Br,-0.351230574
GaS,73,39,0.945,0.557532406,Ga S,0.387467594
RbGaSnSe4,3,21,1.536333333,1.700966619,Rb Ga Sn Se,-0.164633286
RbCu4AsS4,58,0,1.5,1.574665328,Rb Cu As S,-0.074665328
K3B6O10Cl,14,1,0.221,0.67034943,K B O Cl,-0.44934943
CsTa3Se2O12,97,41,1.858412,2.015013234,Cs Ta Se O,-0.156601234
BiSb0.15,74,58,4,3.761583637,Bi Sb,0.238416363
K6Nb2.97Ta1.03S25,91,51,1.69,1.443829435,K Nb Ta S,0.246170565
CsBi2,81,56,2.78,2.723673096,Cs Bi,0.056326904
In0.8Al0.2P,68,95,6.443333333,6.262782046,In Al P,0.180551288
La2S3,4,54,2.575,2.44490274,La S,0.13009726
UO2,41,8,3.65,3.276198225,U O,0.373801775
CuSbS2,45,26,4.39,4.276646978,Cu Sb S,0.113353022
Bi4PdSe4O12,67,9,0.778253333,0.792468865,Bi Pd Se O,-0.014215532
Pb0.98Te0.98Ge0.02S0.02,77,33,1.8,1.819700009,Pb Te Ge S,-0.019700009
AgCd3PS6,56,30,0.85,1.161458047,Ag Cd P S,-0.311458047
ThOSe,55,2,1.46,1.515831749,Th O Se,-0.055831749
CsGdZnTe3,85,96,0.23,1.480093216,Cs Gd Zn Te,-1.250093216
ZnSnAs2,33,71,0.58,2.220378051,Zn Sn As,-1.640378051
Lu2O3,85,53,3.4,3.706810023,Lu O,-0.306810023
OsPS,1,42,2.21,2.154492163,Os P S,0.055507837
CsCd4Ga5Te12,6,30,3.26,3.461136804,Cs Cd Ga Te,-0.201136804
Ga0.85Al0.15As,48,75,2,1.826215518,Ga Al As,0.173784482
GdTe,3,0,0.55,0.54641168,Gd Te,0.00358832
Li4Rb3B7O14,96,96,1.8,1.915831126,Li Rb B O,-0.115831126
CdIO4H,20,27,3.26,3.378492685,Cd I O H,-0.118492685
GaAs,77,41,2.55,2.051904228,Ga As,0.498095772
Gd4GaSbS9,95,75,0.42,0.697949626,Gd Ga Sb S,-0.277949626
RuSe2,78,19,2.8,2.51628964,Ru Se,0.28371036
TlGaTe2,18,97,0.297,0.797442604,Tl Ga Te,-0.500442604
PbSb2Se4,62,100,0.31,0.188119702,Pb Sb Se,0.121880298
CaBi2O4,94,98,1.51,3.036114989,Ca Bi O,-1.526114989
ReO3,82,12,3.38,3.179068479,Re O,0.200931521
Tl2S,18,61,1.27,0.90000967,Tl S,0.36999033
SbSi,32,39,0.31,0.211074913,Sb Si,0.098925087
Ba4Si3Se9Cl2,12,79,2.54,2.914983049,Ba Si Se Cl,-0.374983049
Hg0.8Zn0.2Te,83,23,2.4,2.239655976,Hg Zn Te,0.160344024
ZnSiAs2,63,52,0.2,0.111319918,Zn Si As,0.088680082
Bi0.4Te3Sb1.6,66,70,0.8,1.116921763,Bi Te Sb,-0.316921763
Cs4GeP4Se12,95,94,4.8,5.300885794,Cs Ge P Se,-0.500885794
Ba3Nb2Se9,19,6,2.04,2.191128333,Ba Nb Se,-0.151128333
K2CuIn3Se6,47,74,3.22,3.085712121,K Cu In Se,0.134287879
Al2S3,83,91,2,2.021122155,Al S,-0.021122155
CeF3,70,48,1.914,0.908700577,Ce F,1.005299423
Eu3Bi4S9,31,28,2.48,3.04221929,Eu Bi S,-0.56221929
KBiCu2S3,71,8,1.89,2.277185742,K Bi Cu S,-0.387185742
Cs2AgVS4,65,34,2.9,3.086957977,Cs Ag V S,-0.186957977
AgIn3Te5,16,1,2.18,2.443144513,Ag In Te,-0.263144513
Tm4Sb2Se11.68,33,6,1.52,1.575549846,Tm Sb Se,-0.055549846
K2AgSnSe4,66,26,2.8,2.982555715,K Ag Sn Se,-0.182555715
CdS0.55Se0.45,5,99,0.8,1.174994793,Cd S Se,-0.374994793
Sn2S,6,30,1.2,2.008736221,Sn S,-0.808736221
K4Nb2S11,54,65,1.95,1.671507297,K Nb S,0.278492703
Eu3Sb4S9,33,52,1.6,1.7322193,Eu Sb S,-0.1322193
SiP2,28,36,3.5,2.245443553,Si P,1.254556447
TlGaS2,96,12,0.69,0.520211047,Tl Ga S,0.169788953
CsTbZnTe3,4,81,1.8,2.218097038,Cs Tb Zn Te,-0.418097038
K2Cd3Se4,30,98,2.35,2.429132152,K Cd Se,-0.079132152
H2Ti6O13,8,79,3.441,3.909306655,H Ti O,-0.468306655
NH7Se2O6,58,62,2.04,2.132715406,N H Se O,-0.092715406
Ta0.67Zr1.33O1.89N1.63,65,50,0.55,0.511841677,Ta Zr O N,0.038158323
LiBi4Nb3O12,63,69,1,1.02037148,Li Bi Nb O,-0.02037148
Dy2S3,24,85,2.68,2.576623845,Dy S,0.103376155
La2NiVO6,4,45,2.585,2.934843838,La Ni V O,-0.349843838
Ag2MoI4O14,87,26,0.44,0.565764884,Ag Mo I O,-0.125764884
SnO2,7,60,2,1.863070984,Sn O,0.136929016
CsGe5BO12,38,96,1.26,1.188718873,Cs Ge B O,0.071281127
Ag3AsSe3,89,33,1.855,2.066922726,Ag As Se,-0.211922726
KSbSe2,87,65,4.53,5.285231093,K Sb Se,-0.755231093
Y3GaS6,91,15,1.505,3.028882398,Y Ga S,-1.523882398
Tl2TeBr6,0,87,2.1,1.529466179,Tl Te Br,0.570533821
Hg0.65Cd0.35Te,31,35,1.78,1.73607046,Hg Cd Te,0.04392954
NaSb,75,53,3.25,2.978294987,Na Sb,0.271705013
BiOBr,21,97,2.5,2.380377931,Bi O Br,0.119622069
PdP2,90,46,0.13,0.376838049,Pd P,-0.246838049
RbBr,17,71,5.735,5.841410704,Rb Br,-0.106410704
AsI3,13,61,0.68,0.624414707,As I,0.055585293
Sr0.5TaO3,10,37,0.12,0.178625185,Sr Ta O,-0.058625185
NaH3Se2O6,64,96,0.34,0.347897166,Na H Se O,-0.007897166
Ba2InTaO6,73,93,4.81,5.888135314,Ba In Ta O,-1.078135314
Th2Se5,70,87,1.47,1.659630213,Th Se,-0.189630213
Cs2AgBiCl6,84,80,0.28,0.337438274,Cs Ag Bi Cl,-0.057438274
Ga0.99Sb0.99Cd0.01Te0.01,96,56,0.82,1.019335253,Ga Sb Cd Te,-0.199335253
BaUSe3,13,56,1,1.262960407,Ba U Se,-0.262960407
OsTe2,74,3,2.16,2.009004925,Os Te,0.150995075
RbInS2,0,39,2.21,2.317859211,Rb In S,-0.107859211
KCd4Ga5Se12,24,47,0.5,1.208917806,K Cd Ga Se,-0.708917806
Ga0.9Sb0.9Hg0.1Te0.1,81,90,3.76,4.126179945,Ga Sb Hg Te,-0.366179945
Zn0.99Hg0.01Se,40,74,0.33,1.540945727,Zn Hg Se,-1.210945727
KAgAsS2,96,86,0.8,1.126784182,K Ag As S,-0.326784182
GaAs0.2P0.8,39,98,3.4125,3.523416283,Ga As P,-0.110916283
ZnGa2Se4,83,19,1,0.990222342,Zn Ga Se,0.009777658
Eu3As2,49,100,0.0635,0.214703585,Eu As,-0.151203585
Mg2Pb,81,6,2.01,1.91258947,Mg Pb,0.09741053
Ge2Sb2Te5,34,81,2.93,2.372066967,Ge Sb Te,0.557933033
PbGa2Se4,70,47,2.19,2.192156803,Pb Ga Se,-0.002156803
Zn0.95S0.95Ga0.05P0.05,84,60,1.55,1.444869064,Zn S Ga P,0.105130936
TlCr5S3Se5,34,79,0.6,1.210188697,Tl Cr S Se,-0.610188697
Ir2Sn3Se3,88,87,2.62,2.457024008,Ir Sn Se,0.162975992
Nd2Sn3Se9,22,74,2.28,2.330234559,Nd Sn Se,-0.050234559
Rb3Sb2I9,42,63,3.46,3.54343423,Rb Sb I,-0.08343423
CsBiSe2,20,61,1.02,2.214980431,Cs Bi Se,-1.194980431
CrO3,14,83,2.3,2.108845964,Cr O,0.191154036
Na3WO4Cl,84,11,0.176666667,0.85043134,Na W O Cl,-0.673764674
Ba6Ga2SnSe11,62,84,1.89,1.587823763,Ba Ga Sn Se,0.302176237
Ga0.3As0.3Zn0.7Se0.7,79,29,0.28,0.242035816,Ga As Zn Se,0.037964184
SnSi,27,87,1.32,0.924614336,Sn Si,0.395385664
Tl2Hg3Se4,89,92,2.37,2.244608527,Tl Hg Se,0.125391473
Sr8.007Ge2.043Bi7.949Se24,80,53,1.8,2.777226109,Sr Ge Bi Se,-0.977226109
Mg2Co,35,76,1.31,0.90473608,Mg Co,0.40526392
NdB6,80,56,0.845,1.06918238,Nd B,-0.22418238
Mg2Sn,50,92,1.25,1.604246433,Mg Sn,-0.354246433
LiCa3As2H,18,7,3.97,4.548806076,Li Ca As H,-0.578806076
AgP15,34,57,1.32,1.309869511,Ag P,0.010130489
BaGe2,55,81,0.7,0.255249136,Ba Ge,0.444750864
AgI,13,97,0.9,1.218815027,Ag I,-0.318815027
InBi2S4Cl,2,94,0.72,0.466004634,In Bi S Cl,0.253995366
Pr2.48Tb0.52Ga1.67S7,32,6,3.9,3.864766568,Pr Tb Ga S,0.035233432
AgAlO2,65,86,0.2695,0.468579571,Ag Al O,-0.199079571
Pb2BO4H,2,37,2.2,2.161455731,Pb B O H,0.038544269
Ga0.7Al0.3As,4,54,2.54,2.349350999,Ga Al As,0.190649001
K2Ta15O32,50,97,9.9,3.694137425,K Ta O,6.205862575
NiO,59,38,2.15,1.404255256,Ni O,0.745744744
RbPSe6,44,92,3.6,3.2454765,Rb P Se,0.3545235
Ga0.01Sb0.01Cd0.99Te0.99,24,17,2.515,2.079871274,Ga Sb Cd Te,0.435128726
CoSb3,94,19,0.705,1.466264222,Co Sb,-0.761264222
Tl3CuNb2Se12,77,48,1.45,1.286342695,Tl Cu Nb Se,0.163657305
CuGaO2,93,42,1.365,1.231008936,Cu Ga O,0.133991064
CsMn4In5Se12,47,93,0.75,1.582749558,Cs Mn In Se,-0.832749558
EuSnTe2,90,76,1.5,2.283014296,Eu Sn Te,-0.783014296
Bi2SI2O11,73,4,4.2,4.216087642,Bi S I O,-0.016087642
Ce2O2FeSe2,37,57,2.55,2.422079003,Ce O Fe Se,0.127920997
PtS,76,68,2.4,2.667420132,Pt S,-0.267420132
Ca3N2,61,97,1.95,1.505426548,Ca N,0.444573452
SrTiO3,1,59,0.176666667,0.153813857,Sr Ti O,0.022852809
TlBiTe3,7,79,2.063333333,2.140872287,Tl Bi Te,-0.077538953
K2Cu2Sn2Se6,36,25,3.65,3.49745651,K Cu Sn Se,0.15254349
AgPdI3O9,3,86,5.12,5.911878276,Ag Pd I O,-0.791878276
Ca2SmTaO6,35,88,1.82,1.809838474,Ca Sm Ta O,0.010161526
EuO,77,26,4.84,4.172158212,Eu O,0.667841788
Sn3As2,40,41,2.25,2.319464716,Sn As,-0.069464716
CuScO2,85,63,1.4,1.68984255,Cu Sc O,-0.28984255
NaCeS3,67,54,8,6.788288682,Na Ce S,1.211711318
SnGeS3,52,5,1.2,1.336922499,Sn Ge S,-0.136922499
Ba4CuInSe6,90,21,2.42,2.120505933,Ba Cu In Se,0.299494067
ZnGeN2,15,72,1.07,0.931753075,Zn Ge N,0.138246925
SnO,45,10,1.05,0.781029696,Sn O,0.268970304
Ag7AsS6,73,19,4.4,4.092259546,Ag As S,0.307740454
Cs1.13Cd1.13Bi2.87Se6,63,48,2.14,2.321251425,Cs Cd Bi Se,-0.181251425
TlPTe,59,47,3.75,3.530361663,Tl P Te,0.219638337
ZnSnSb2,27,16,1.04,1.060018648,Zn Sn Sb,-0.020018648
AgO,11,89,4.29,3.866388956,Ag O,0.423611044
Hg0.796Cd0.204Te,99,91,2.4,2.476561681,Hg Cd Te,-0.076561681
ZnSiP2,97,65,1.54,1.817803249,Zn Si P,-0.277803249
RuTe2,30,19,1.86,2.071195306,Ru Te,-0.211195306
BaTaO2N,14,73,2.6,2.028675839,Ba Ta O N,0.571324161
Pb3BiP3O12,9,66,1.9,1.597042913,Pb Bi P O,0.302957087
K8Ce2I18O53,86,62,3.75,3.022781083,K Ce I O,0.727218917
Cd0.01Te0.01Al0.99Sb0.99,63,9,3.68,3.693911035,Cd Te Al Sb,-0.013911035
CsSbTe2,60,45,2.485,2.261558763,Cs Sb Te,0.223441237
KH3Se2O6,25,10,0.35,0.706629795,K H Se O,-0.356629795
ScTiNbO6,58,1,2.2,1.490460954,Sc Ti Nb O,0.709539046
Ba5Ga6GeP12,51,65,0.8,1.492053916,Ba Ga Ge P,-0.692053916
PbGa4S7,21,39,2,3.09089639,Pb Ga S,-1.09089639
Ce1.3Lu0.7S3,64,94,2.6,3.154484646,Ce Lu S,-0.554484646
La2ZrS5,88,61,3.1,4.346799919,La Zr S,-1.246799919
La2Se3,24,94,2.6,2.09325879,La Se,0.50674121
Cu0.4In1.6Se2.6,87,48,5.5,4.73559495,Cu In Se,0.76440505
In2Se2O7,1,52,1.43,1.424782141,In Se O,0.005217859
Cu0.7In1.3Se2.3,95,73,2.99,3.186817561,Cu In Se,-0.196817561
EuSb4S7,90,90,2,1.965173546,Eu Sb S,0.034826454
Na2ZnSn2S6,97,17,2.52,3.061386887,Na Zn Sn S,-0.541386887
YFMoO4,65,60,2.31,2.212943393,Y F Mo O,0.097056607
CdP2,69,39,2.3,2.269021326,Cd P,0.030978674
CaGd2S4,3,42,4.2,3.793869924,Ca Gd S,0.406130076
Na2Hg3Si2S8,75,91,1.41,1.65934363,Na Hg Si S,-0.24934363
CoAsS,10,23,1.27,1.001748136,Co As S,0.268251864
Cs2Hg5.75Cd0.25S7,30,2,2.8,2.723318474,Cs Hg Cd S,0.076681526
YNiSb,84,18,5.4,5.270729606,Y Ni Sb,0.129270394
La3CuGeSe7,74,54,10.39,7.108702446,La Cu Ge Se,3.281297554
SmBiW2O9,36,34,1.856666667,2.107642472,Sm Bi W O,-0.250975805
Ba4Ge3S9Cl2,38,55,1.32,1.625310112,Ba Ge S Cl,-0.305310112
Sb3O4I,96,66,2.47,2.777235557,Sb O I,-0.307235557
Pb4Ga5GeS12,88,59,1.12,0.769060582,Pb Ga Ge S,0.350939418
Rb2CuNbSe4,82,70,1.539,1.299385566,Rb Cu Nb Se,0.239614434
KSbS2,46,30,2.2,2.177275776,K Sb S,0.022724224
Bi12PO20,47,64,2.45,2.423630111,Bi P O,0.026369889
La3LuSe6,74,100,2.3,2.479379432,La Lu Se,-0.179379432
Cu2ZnSiS4,50,57,1.714,0.394101928,Cu Zn Si S,1.319898072
Nd2HfS5,55,72,0.3,0.3763803,Nd Hf S,-0.0763803
ThO2,90,95,3.34,2.595612908,Th O,0.744387092
Li4.5Al0.5TeO6,21,49,0.783333333,0.784428831,Li Al Te O,-0.001095497
SrThP2S8,76,20,1.5,1.988093808,Sr Th P S,-0.488093808
Cs4BiAs3Se7,55,5,4,4.075487763,Cs Bi As Se,-0.075487763
TiSe2,46,77,2.35,2.38555864,Ti Se,-0.03555864
Li6Mo6Se6O33,77,100,0.1,0.421707729,Li Mo Se O,-0.321707729
Na2Be4B4O11,33,23,0.9,1.415962154,Na Be B O,-0.515962154
K4In4P6Se20,76,14,2.31,2.350267273,K In P Se,-0.040267273
La3Te4,46,18,2.56,2.329838643,La Te,0.230161357
Li2CdGe,80,99,3.5,1.833252043,Li Cd Ge,1.666747957
CsZn4In5Te12,42,28,3.43,3.266219532,Cs Zn In Te,0.163780468
Pb2SbS2I3,74,35,1.5,1.473851001,Pb Sb S I,0.026148999
LaCuOTe,92,56,1.8,1.73451688,La Cu O Te,0.06548312
LiSbS2,16,8,0.4,0.604390623,Li Sb S,-0.204390623
SnS0.8Se0.2,1,41,2.19,2.078890109,Sn S Se,0.111109891
LiBi4Ta3O12,87,71,0.04,0.095458937,Li Bi Ta O,-0.055458937
Cs3As,93,61,2.21,1.567276718,Cs As,0.642723282
AgBiSe2,21,71,2.25,2.811690033,Ag Bi Se,-0.561690033
La2Ge2Se7,51,13,1.2,1.659065671,La Ge Se,-0.459065671
CuBr,4,29,3.057,2.776192877,Cu Br,0.280807123
LiBiS2,62,84,2.31,1.419371653,Li Bi S,0.890628347
Nd4Ge3S12,21,62,1.93,2.311295318,Nd Ge S,-0.381295318
K2Hg3S2.69Se1.31,71,90,2.27,2.029171439,K Hg S Se,0.240828561
Bi0.6Te3Sb1.4,9,60,1.96,1.949395019,Bi Te Sb,0.010604981
Pb2Bi5.9La2.1S14,50,94,1.86,1.741092529,Pb Bi La S,0.118907471
Ga0.4Al0.6As,82,13,2.79,3.64249763,Ga Al As,-0.85249763
RbBi3Se5,12,30,4.145,3.647808107,Rb Bi Se,0.497191893
PbBiO2Cl,79,77,1.1,1.328344445,Pb Bi O Cl,-0.228344445
K2Se,16,62,2.12,1.888746084,K Se,0.231253916
Ir0.67S2,84,35,2.185,2.124218129,Ir S,0.060781871
Pb0.97Se0.97Ge0.03S0.03,53,83,2.376666667,1.979727686,Pb Se Ge S,0.396938981
Cu0.2Ga1.8S2.8,75,80,0.235,0.162167475,Cu Ga S,0.072832525
Na2In2SiS6,74,46,3.63,3.442097411,Na In Si S,0.187902589
Cu2Ga4Te7,11,88,1.32,1.223097592,Cu Ga Te,0.096902408
In0.4As0.4Ga0.6P0.6,56,27,2.45,2.446998853,In As Ga P,0.003001147
Dy4S4Te3,90,35,0.24,1.383968537,Dy S Te,-1.143968537
K1.46Sn3.09Bi7.45Se15,34,22,1.695,1.530531364,K Sn Bi Se,0.164468636
NaLa2TaO6,35,1,2.63,2.508972006,Na La Ta O,0.121027994
As2Te3,92,62,3.59,3.265516627,As Te,0.324483373
RuAsS,1,12,1.24,1.099398747,Ru As S,0.140601253
BiCuOS,10,34,1.06,1.479031582,Bi Cu O S,-0.419031582
Sm2Te3,98,24,2.6,2.284583151,Sm Te,0.315416849
AsNMg3,73,3,2.15,2.871548788,As N Mg,-0.721548788
As4S4,67,100,0.066,0.099453872,As S,-0.033453872
EuSb2BO8,67,95,0.8,0.96849509,Eu Sb B O,-0.16849509
SrLa2S4,52,55,1.945,1.974851892,Sr La S,-0.029851892
BaTeMo2O9,60,60,2.3,3.389114078,Ba Te Mo O,-1.089114078
RbZn4In5Se12,14,26,7.1,5.386212835,Rb Zn In Se,1.713787165
Eu2Se3,29,64,0.96,0.906565874,Eu Se,0.053434126
Dy2Te3,52,7,0.49,0.457414809,Dy Te,0.032585191
P2Se5,40,71,1.67,1.527036831,P Se,0.142963169
CsRbP2Se8,100,18,0.46,1.037973456,Cs Rb P Se,-0.577973456
Ce4Ge3S12,68,6,1.62,1.323903608,Ce Ge S,0.296096392
Zn3Sb2,48,80,0.9,0.756685588,Zn Sb,0.143314412
K2Hg3Ge2S8,42,22,2.53,2.500699351,K Hg Ge S,0.029300649
Pr4InSbSe9,37,49,0.74,0.777002739,Pr In Sb Se,-0.037002739
K3Bi2I9,48,43,1.23,1.291164144,K Bi I,-0.061164144
GaAs0.01Sb0.99,38,19,4.67,5.379756655,Ga As Sb,-0.709756655
Na2Hg3S2.51Se1.49,85,9,2.5,2.635552833,Na Hg S Se,-0.135552833
K0.8Hg1.2Sn2S8,34,20,10,9.816187157,K Hg Sn S,0.183812843
OsSb2,45,56,1.9,2.900224401,Os Sb,-1.000224401
Pb0.98Se0.98Bi0.04Te0.06,53,82,1.6,1.55572671,Pb Se Bi Te,0.04427329
AgAsS2,96,54,2.34,2.879649315,Ag As S,-0.539649315
Pr2Te3,94,36,1.593,1.407454967,Pr Te,0.185545033
CsYbCoSe3,36,50,2.4,2.372341572,Cs Yb Co Se,0.027658428
Hg4P2ZrCl6,78,78,1.71,1.870865113,Hg P Zr Cl,-0.160865113
PbMnIn2S5,1,84,0.965,0.930347948,Pb Mn In S,0.034652052
TmAs,3,89,1.8,1.601237606,Tm As,0.198762394
Tl2Hg3S4,58,0,1.6,1.555470217,Tl Hg S,0.044529783
CsSbS2O8,16,86,1.18,1.180468153,Cs Sb S O,-0.000468153
KTaO3,9,80,0.79,1.529068758,K Ta O,-0.739068758
CuAlS2,56,38,0.46,0.607157074,Cu Al S,-0.147157074
SrB6,28,24,0.171666667,0.229431032,Sr B,-0.057764365
Pb0.96TeIn0.04,51,18,2.47,2.144534412,Pb Te In,0.325465588
La2HfS5,26,21,1.775,1.909292279,La Hf S,-0.134292279
In0.99P0.99Ga0.01As0.01,51,93,0.129,0.95612515,In P Ga As,-0.82712515
CuIn3Te5,6,55,1.35,1.329977665,Cu In Te,0.020022335
Ge0.9355Si0.0645,9,27,1.45,1.236854207,Ge Si,0.213145793
Cs3W3PO13,85,67,3.02,2.76692586,Cs W P O,0.25307414
Li6Fe2Te8O22,53,13,2.6,2.97613195,Li Fe Te O,-0.37613195
Ga0.1As0.1Zn0.9Se0.9,71,14,3.88,3.7811329,Ga As Zn Se,0.0988671
Ce3MoO7,84,42,2.77,2.086276199,Ce Mo O,0.683723801
BiSe,66,25,1.65,1.982991129,Bi Se,-0.332991129
Bi2S3,79,98,1.48194,1.304029115,Bi S,0.177910885
Ba4Ga2Se8,63,80,2.243333333,2.377937463,Ba Ga Se,-0.134604129
RuSbTe,45,62,2.088428571,0.76269023,Ru Sb Te,1.325738341
CsCl,73,93,7.45,6.66676336,Cs Cl,0.78323664
Pb0.8Se0.8Sn0.2Te0.2,14,72,4.17,4.327546469,Pb Se Sn Te,-0.157546469
Hg2I2,50,37,4.99,4.72821208,Hg I,0.26178792
Bi3In4S10,1,5,1,0.763245346,Bi In S,0.236754654
Nb6VSb3O25,16,90,2.18,2.124638902,Nb V Sb O,0.055361098
Pb4V2Se6O21,21,34,3.58,3.413930719,Pb V Se O,0.166069281
LaCuOSe,56,76,2.86,2.576131897,La Cu O Se,0.283868103
InSe,24,79,0.6,0.802031087,In Se,-0.202031087
InBi2S4Br,11,90,2.91,2.892925303,In Bi S Br,0.017074697
CsHo9Cd4Se18,68,32,7.3,6.958112966,Cs Ho Cd Se,0.341887034
ZnS,11,46,1.61,1.509227343,Zn S,0.100772657
WO3,81,52,1,1.253694661,W O,-0.253694661
Pb6B2CrO12,96,91,0.57,0.77653525,Pb B Cr O,-0.20653525
